zipCode,Female,Male
04783,868,836
04785,5120,4896
04786,4004,3876
04787,1068,1108
04841,15620,13568
04843,10548,8856
04847,3140,3004
04848,1172,1092
04849,7376,7360
04851,140,160
04852,128,148
04853,676,740
04854,3272,3048
04855,636,592
04856,6904,6416
04858,3040,3092
04859,1456,1440
04860,3300,3064
04861,5912,5212
04862,7172,7196
04863,2276,2384
04864,7768,11236
04901,55188,49804
04910,4120,4044
04911,4136,4408
04912,2072,2120
04915,18612,16612
04917,5768,5628
04918,704,692
04920,3336,3516
04921,3104,3268
04922,2220,2436
04923,968,960
04924,4540,4560
04925,140,160
04926,104,104
04927,6820,7124
04928,4516,4276
04929,1660,1688
04930,8892,8288
04932,2348,2376
04933,136,124
04936,500,544
04937,13436,13144
04938,21228,18248
04939,2128,2292
04940,232,240
04941,3540,3464
04942,2608,2696
04943,3712,3456
04944,92,76
04945,2464,2504
04947,3612,3796
04949,1772,1880
04950,9592,9828
04951,1820,1804
04952,3776,3540
04953,6684,6228
04955,2732,2716
04956,1572,1468
04957,8544,8516
04958,3896,3920
04961,1872,2016
04962,264,236
04963,14788,14164
04964,388,496
04965,4012,3892
04966,3452,3276
04967,8788,8132
04969,2712,2736
04970,3180,3300
04971,3936,4084
04973,2808,2748
04974,5468,4976
04975,100,92
04976,20796,18816
04978,1640,1556
04979,2020,2236
04981,4748,4516
04982,1120,1400
04983,3392,3616
04984,1016,1076
04985,196,260
04986,3428,3456
04987,2060,2060
04988,4368,4168
04989,8488,8372
04992,224,188
05001,19192,17300
05031,428,444
05032,5328,5328
05033,5728,5248
05034,608,632
05035,1252,1300
05036,1980,2168
05037,1152,1088
05038,2492,2428
05039,2208,2232
05040,940,944
05041,664,752
05042,1260,1160
05043,1968,1780
05045,3512,3520
05046,2308,2248
05048,4780,4936
05050,324,260
05051,3160,3036
05052,692,700
05053,676,652
05055,7076,6376
05056,1096,1172
05058,680,704
05059,1784,1712
05060,9156,8504
05061,2848,3868
05062,1448,1360
05065,2120,2136
05067,536,496
05068,6328,6172
05069,1084,1136
05070,1056,880
05071,636,660
05072,1020,1084
05075,2344,2108
05076,760,888
05077,2472,2388
05079,1432,1488
05081,1124,1076
05083,324,280
05084,280,280
05086,1612,1560
05089,10316,9600
05091,6924,6228
05101,9576,8996
05141,244,204
05142,1376,1344
05143,8860,8512
05146,1428,1572
05148,2300,2260
05149,4288,4080
05150,1784,1540
05151,3044,3168
05152,888,904
05153,1368,1380
05154,1408,1236
05155,1644,1668
05156,18336,18568
05158,2140,2056
05161,1068,1140
05201,31112,28292
05250,6940,6692
05251,2780,2620
05252,608,488
05253,1368,1372
05254,596,496
05255,8716,7768
05257,5992,4880
05260,908,928
05261,5280,5672
05262,5212,4976
05301,35484,31796
05340,1500,1552
05341,784,844
05342,1136,1188
05343,1664,2004
05345,4356,4120
05346,10088,10648
05350,1448,1604
05352,1604,1692
05353,2180,2108
05354,4456,4384
05355,1568,1684
05356,1372,1496
05358,264,328
05359,1152,1224
05360,480,524
05361,1844,1944
05362,256,252
05363,3952,4132
05401,56044,56696
05403,37216,33156
05404,14776,14184
05405,10272,7352
05408,21436,19020
05439,3528,3408
05440,4008,3984
05441,1860,1972
05442,704,652
05443,13332,13292
05444,3348,3508
05445,7688,7328
05446,30924,30568
05447,140,176
05448,2240,2296
05450,9784,10124
05452,40424,38416
05454,8964,8824
05455,2072,2248
05456,2528,2580
05457,3252,3216
05458,4040,4136
05459,4304,4320
05461,8968,9200
05462,3860,3892
05463,952,932
05464,6052,5980
05465,10688,10732
05468,26004,25764
05471,1836,1748
05472,3236,3336
05473,2704,2948
05474,1600,1612
05476,6488,6244
05477,8880,8708
05478,29600,28196
05481,0,0
05482,15220,13572
05483,2500,2712
05485,192,180
05486,3368,3248
05487,2904,3088
05488,15704,15056
05489,6452,6244
05491,11688,11948
05492,1328,1400
05494,3536,3532
05495,19440,17924
05602,25236,22428
05640,344,300
05641,35652,33024
05647,2272,2292
05648,856,836
05649,1188,1108
05650,2292,2200
05651,3064,3120
05652,1476,1628
05653,1060,1128
05654,1960,1920
05655,5912,5560
05656,6776,7256
05657,108,116
05658,2804,2804
05660,3248,3392
05661,11688,10792
05663,12136,14956
05664,180,140
05667,4336,4328
05669,1232,1304
05672,8472,8784
05673,5244,5052
05674,3312,3508
05675,2064,2192
05676,9976,9960
05677,4452,4476
05678,336,316
05679,6632,6552
05680,4236,4436
05681,896,936
05682,2532,2472
